time (seconds),temperature,heading,light,acceleration
0.001,21,90,128,0
1.002,21,90,128,0
2.002,21,90,128,0
3.004,21,90,128,0
4.004,21,90,128,0
5.005,21,90,128,0
6.006,21,90,128,0
7.008,21,90,128,0
8.01,21,90,128,0
9.012,21,90,128,0
10.014,21,90,128,0
11.016,21,90,128,0
12.016,21,90,128,0
13.016,21,90,128,0
14.019,21,90,128,0
15.02,21,90,128,0
16.021,21,90,128,0
17.023,21,90,128,0
18.023,21,90,128,0
19.025,21,90,128,0
20.026,21,90,128,0
21.028,21,90,128,0
22.03,21,90,128,0
23.032,21,90,128,0
24.033,21,90,128,0
25.034,21,90,128,0
26.035,21,90,128,0
27.036,21,90,128,0
28.037,21,90,128,0
29.038,21,90,128,0
30.04,21,90,128,0
31.042,21,90,128,0
32.044,21,90,128,0
